sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,converged,n_iterations,computation_time,conf_0_0,conf_0_1,conf_0_2,conf_1_0,conf_1_1,conf_1_2,conf_2_0,conf_2_1,conf_2_2
27,5000,3,0.0021596078276975204,0.00247894148269288,0.013065546691455538,0.0171389255381833,0.9206,1,61,0,2795,43,71,84,1185,62,63,74,623
28,5000,3,0.0013893020008075851,0.001489077425072541,0.01016874335899044,0.01335038988931397,0.9134,1,35,0,2142,121,43,108,1556,49,42,70,869
29,5000,3,0.012708211509282493,0.013763029156210535,0.010631047107804771,0.013483482721661727,0.8626,1,82,0,1950,97,79,131,1404,174,62,144,959
30,5000,3,0.005704021654567376,0.006398437443369193,0.009737102059901536,0.012098811187081419,0.924,1,41,0,2560,132,29,128,1422,33,28,30,638
31,5000,3,0.003937126269696167,0.004248226904612924,0.011481234408053587,0.014790243042095363,0.9216,1,80,0,3049,105,33,125,907,47,41,41,652
32,5000,3,0.0011265275301781303,0.0013726652970993693,0.012284535895790682,0.016775627232193273,0.9246,1,56,0,3365,45,49,72,714,55,119,37,544
33,5000,3,0.010434517374574015,0.011091906626078098,0.011222302818205057,0.013557280143584495,0.8714,1,77,0,2574,160,104,214,1082,37,105,23,701
34,5000,3,0.008066648185971923,0.00902572491547178,0.010369124512076814,0.012760725472348852,0.9184,1,62,0,2287,56,115,59,1380,29,113,36,925
35,5000,3,0.008006974650362994,0.008541216370512044,0.010168953088433411,0.013034203873167114,0.8806,1,53,0,2296,144,35,148,1300,100,50,120,807
36,5000,3,0.006836657817775996,0.007270526113248972,0.013282478857110008,0.018691769579133467,0.9532,1,46,0,3528,48,18,65,667,20,47,36,571
37,5000,3,0.009357500633547186,0.010375612360159932,0.010237409423412006,0.013405455555171801,0.958,1,26,0,2866,31,59,31,1047,14,65,10,877
38,5000,3,0.007024834095221616,0.0077252365561729505,0.011034456960790584,0.013403645910113001,0.906,1,37,0,2446,130,48,156,998,59,45,32,1086
39,5000,3,0.003672608502059619,0.004003664657187495,0.009746019480841391,0.011804305495536212,0.9058,1,50,0,1780,140,18,159,1552,56,35,63,1197
40,5000,3,0.007989003787800228,0.008581732712153903,0.013389951416509888,0.017784255186191134,0.8662,1,116,0,2925,99,83,193,753,104,148,42,653
41,5000,3,0.006355357939323607,0.00727390107882442,0.010662451331688461,0.0133619299264255,0.8928,1,50,0,2440,110,37,171,1174,89,59,70,850
42,5000,3,0.007836555553899532,0.00849122284570935,0.012814489916017555,0.015836857589887895,0.8918,1,83,0,2516,63,94,70,1339,92,122,100,604
43,5000,3,0.0058756541735302354,0.006400765862891835,0.011011467112895768,0.014148592667237236,0.872,1,64,0,1782,90,131,84,1397,64,211,60,1181
44,5000,3,0.013017447087822312,0.013944152948685893,0.009261762606464748,0.011378939589299307,0.9348,1,35,0,2053,34,50,49,1602,55,76,62,1019
45,5000,3,0.005204768771574229,0.005881724686991992,0.012287332551628586,0.015834486127770876,0.9154,1,82,0,2385,78,75,64,1693,19,156,31,499
46,5000,3,0.005152044598033774,0.00571201501225804,0.14669331400957863,0.23942098217054517,0.5184,1,56,0,2493,54,95,126,45,1017,70,1046,54
47,5000,3,0.025406738455526195,0.030260936017134723,0.010937623556382153,0.014305619460790722,0.8602,1,101,0,2116,102,129,127,1316,24,287,30,869
48,5000,3,0.004024123188193183,0.00427459172848198,0.01328353381059737,0.017254301431883168,0.905,1,64,0,2654,119,84,96,1242,36,94,46,629
49,5000,3,0.006827474488367263,0.00765451030003709,0.010260133654847447,0.013740505061033763,0.9058,1,113,0,2984,77,58,67,802,68,85,116,743
