sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,converged,n_iterations,computation_time,conf_0_0,conf_0_1,conf_1_0,conf_1_1
23,500,2,0.004399197431005225,0.004399197431005225,0.025643698448501638,0.031463785419239707,0.96,1,31,0,241,6,14,239
24,500,2,0.038603943033886756,0.038603943033886756,0.02910390879699224,0.03634114795561556,0.894,1,55,0,287,16,37,160
25,500,2,0.013757314845609797,0.013757314845609797,0.02462241845936346,0.030441652724001046,0.92,1,34,0,253,21,19,207
26,500,2,0.0010535479345788606,0.0010535479345788606,0.030385005123287245,0.039039798949439625,0.98,1,33,0,418,1,9,72
27,500,2,0.05915230262751242,0.05915230262751242,0.029281481435420014,0.038558758922326325,0.952,1,39,0,339,17,7,137
28,500,2,0.04279854360902674,0.04279854360902674,0.024010824290702528,0.030397632088340638,0.982,1,10,0,313,2,7,178
29,500,2,0.009577377171509555,0.009577377171509555,0.03138562017308338,0.042609975129534024,0.902,1,95,0,355,32,17,96
30,500,2,0.0046611515065514975,0.0046611515065514975,0.029041361329800414,0.039812676921823345,0.956,1,61,0,386,7,15,92
31,500,2,0.04003392066967218,0.04003392066967218,0.036291172775988,0.05441815381232074,0.966,1,50,0,423,2,15,60
32,500,2,0.0130637186927835,0.0130637186927835,0.036600718206685076,0.050591506159611346,0.974,1,30,0,410,3,10,77
33,500,2,0.012839576818129098,0.012839576818129098,0.03562511584122467,0.049157344627398465,0.894,1,53,0,363,21,32,84
34,500,2,0.027389798926008957,0.027389798926008957,0.03603283877179077,0.050796037610537005,0.902,1,89,0,378,11,38,73
35,500,2,0.01179233148977507,0.01179233148977507,0.03127406793273229,0.03943352265421451,0.924,1,41,0,324,16,22,138
36,500,2,0.014350713870181178,0.014350713870181178,0.021804722834575692,0.030373325305559345,0.974,1,17,0,383,8,5,104
37,500,2,0.059189058103025854,0.059189058103025854,0.02665193543979618,0.034784138005997584,0.958,1,42,0,366,16,5,113
38,500,2,0.0636486775598718,0.0636486775598718,0.21974755876050622,0.26148398343382373,0.076,1,57,0,27,206,256,11
39,500,2,0.0023869692561750144,0.0023869692561750144,0.029065916413680316,0.03688475903392363,0.92,1,63,0,344,20,20,116
40,500,2,0.0013650175370483603,0.0013650175370483603,0.027836550573577413,0.03454988598310615,0.966,1,30,0,375,6,11,108
41,500,2,0.032389123161635086,0.032389123161635086,0.019810307700937536,0.025525617744662516,0.932,1,37,0,279,13,21,187
42,500,2,0.005998186738038425,0.005998186738038425,0.020470761082315627,0.025433078629475234,0.968,1,23,0,257,6,10,227
43,500,2,0.0008310481335878916,0.0008310481335878916,0.024477705265921686,0.029633814708285494,0.978,1,18,0,315,8,3,174
44,500,2,0.0023566953816209213,0.0023566953816209213,0.020584559599957575,0.026046228973346745,0.944,1,32,0,265,12,16,207
45,500,2,0.0007944056360725538,0.0007944056360725537,0.0292989731864552,0.03531037075235222,0.938,1,30,0,296,14,17,173
46,500,2,0.011621397081616136,0.011621397081616136,0.017899270807191864,0.02384488978106756,0.97,1,27,0,304,8,7,181
47,500,2,0.014471394360824452,0.014471394360824452,0.021108528825830482,0.026466196072455178,0.976,1,24,0,288,6,6,200
48,500,2,0.038734856027419995,0.038734856027419995,0.03577902832551115,0.04709222671236271,0.828,1,134,0,349,21,65,65
49,500,2,0.02523134589947737,0.02523134589947737,0.03371570204448547,0.042711074347539284,0.88,1,64,0,303,15,45,137
