sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,converged,n_iterations,computation_time,conf_0_0,conf_0_1,conf_0_2,conf_1_0,conf_1_1,conf_1_2,conf_2_0,conf_2_1,conf_2_2
25,2000,3,0.010417541682028297,0.012350577326378709,0.015282768691997508,0.0197970065323555,0.938,1,33,0,1079,26,21,27,450,3,43,4,347
26,2000,3,0.006827409793905438,0.007357906448822997,0.014042051881380068,0.018400790877047272,0.939,1,33,0,820,16,30,9,671,20,19,28,387
27,2000,3,0.008636921788282912,0.009927616071942641,0.018911895800198704,0.023553205754828038,0.915,1,59,0,894,29,28,39,710,21,28,25,226
28,2000,3,0.007411820745431082,0.008753298393262594,0.23315584623073052,0.33741952478030746,0.6315,1,28,0,1252,27,19,20,9,323,31,317,2
29,2000,3,0.01855993619655914,0.019803484330266463,0.019112796679773104,0.025746299322648488,0.912,1,98,0,967,6,50,2,643,14,78,26,214
30,2000,3,0.00465326389418184,0.005430370010295118,0.016087949887496136,0.02061820544051999,0.935,1,36,0,1115,25,10,34,446,13,28,20,309
31,2000,3,0.004118313087001187,0.004368220273409559,0.017908127052453475,0.023931398071339375,0.8515,1,79,0,692,61,33,83,511,37,37,46,500
32,2000,3,0.0055496005620078726,0.0058866862895853266,0.013114327824181489,0.016769456340845,0.901,1,27,0,660,14,19,31,592,40,33,61,550
33,2000,3,0.009226152006690367,0.010125694598004982,0.015686050716948913,0.020332113062676908,0.9095,1,121,0,1091,44,10,30,507,37,8,52,221
34,2000,3,0.011007377630151055,0.011844941195945199,0.013026110158041204,0.01588627922066879,0.9165,1,37,0,992,32,31,45,485,8,35,16,356
35,2000,3,0.006967568209570507,0.007631077519647739,0.1619448508813038,0.24282805792930573,0.7115,1,167,0,1396,48,19,38,13,205,84,183,14
36,2000,3,0.01185567925068314,0.012920994421470699,0.017847530693367482,0.02435392197147996,0.8665,1,72,0,808,50,41,64,654,19,69,24,271
37,2000,3,0.01943750504897379,0.021381248038247008,0.155155956906721,0.20066723000017067,0.3975,1,88,0,675,83,54,60,65,434,60,514,55
38,2000,3,0.016373616111318507,0.01779017573068656,0.011829027430023831,0.015401537569807198,0.9075,1,49,0,691,38,23,48,579,17,44,15,545
39,2000,3,0.010933096459334565,0.01160608551677098,0.017907014065708608,0.023114789307647435,0.916,1,41,0,811,25,52,17,534,1,65,8,487
40,2000,3,0.01784610676971658,0.019469115984040327,0.01893865557870851,0.025041486579143356,0.813,1,144,0,844,125,19,126,537,22,49,33,245
41,2000,3,0.012596632273727473,0.014254802284067695,0.02824915127252446,0.03735193443300291,0.88,1,138,0,1247,28,67,33,344,36,54,22,169
42,2000,3,0.01722107661678257,0.018285454162280453,0.015505871476914197,0.018598587122796453,0.927,1,33,0,772,28,8,69,604,13,4,24,478
43,2000,3,0.011832909014986829,0.01440972926128893,0.01607255326572537,0.020998962078400563,0.9025,1,55,0,660,64,23,53,646,11,30,14,499
44,2000,3,0.008131552533870953,0.009158792096652851,0.015971442857837827,0.020228293294226936,0.895,1,72,0,911,66,11,92,670,14,12,15,209
45,2000,3,0.004648207458704655,0.005446234126474277,0.021381119700823646,0.028420107865827975,0.886,1,110,0,949,20,49,44,615,25,54,36,208
46,2000,3,0.02286042228204278,0.024725055804348733,0.015294638235004498,0.020879186434817967,0.9255,1,57,0,1107,31,22,19,475,7,62,8,269
47,2000,3,0.0010337370591663637,0.0011930955252505244,0.01398954012004718,0.018937984065211726,0.9395,1,52,0,1058,11,26,16,496,17,36,15,325
48,2000,3,0.012725870166421682,0.014715214693664137,0.01880293206968565,0.02430714958403765,0.843,1,111,0,912,66,34,77,417,42,36,59,357
49,2000,3,0.009610744957977443,0.01152306257425973,0.013706908969818972,0.017289081168141016,0.905,1,38,0,729,28,22,30,585,39,30,41,496
