sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,converged,n_iterations,computation_time,conf_0_0,conf_0_1,conf_0_2,conf_0_3,conf_0_4,conf_1_0,conf_1_1,conf_1_2,conf_1_3,conf_1_4,conf_2_0,conf_2_1,conf_2_2,conf_2_3,conf_2_4,conf_3_0,conf_3_1,conf_3_2,conf_3_3,conf_3_4,conf_4_0,conf_4_1,conf_4_2,conf_4_3,conf_4_4
33,500,5,0.010343389523655294,0.012167104924269692,0.13341456121227413,0.2030053554632462,0.494,0,200,0,81,13,4,6,4,8,73,2,1,4,2,1,87,3,8,12,20,3,4,63,9,9,4,77,2
34,500,5,0.01119949254401197,0.01166991062553546,0.13406814816842882,0.22163975591830673,0.524,1,114,0,116,3,5,2,0,10,9,11,74,8,9,3,74,3,0,1,85,2,3,3,1,10,3,5,60
35,500,5,0.0047748161344836944,0.00564252639359051,0.11604717469968691,0.18402623235128837,0.648,1,156,0,194,5,9,7,2,9,69,1,3,3,7,0,8,6,49,4,3,4,48,5,7,3,48,1,5
36,500,5,0.015752218290873886,0.017364238146750748,0.05401259381438026,0.07204702183416106,0.774,1,130,0,167,5,6,11,1,6,100,14,9,1,2,15,43,3,6,6,9,2,41,2,2,4,5,4,36
37,500,5,0.022348102797648185,0.02335193545804237,0.24157113011800846,0.32371777139853314,0.218,1,77,0,103,13,4,4,5,4,1,102,5,1,8,92,2,1,1,24,10,2,2,43,7,1,2,62,1
38,500,5,0.01939357170255689,0.024675826728527434,0.16887513815490204,0.2430540292423602,0.418,0,200,0,114,2,19,0,3,4,85,8,6,6,2,6,8,86,0,12,18,17,1,36,5,4,54,3,1
39,500,5,0.03157134004022226,0.03885214029355036,0.14622636631207633,0.22800008358644705,0.624,1,143,0,155,6,7,2,7,0,118,0,3,0,14,2,6,54,1,8,2,63,2,0,14,0,2,3,31
40,500,5,0.02109180655681903,0.025044715069167448,0.11238504257224811,0.17960207104431516,0.626,0,200,0,146,1,13,4,2,6,113,7,15,3,11,9,9,51,1,7,1,37,2,6,5,0,8,0,43
41,500,5,0.013011005961892603,0.014308992288308509,0.18743313586999796,0.2692407651290095,0.596,1,170,0,226,1,9,1,0,1,67,6,20,2,7,2,5,45,3,7,8,2,0,37,2,2,45,2,0
42,500,5,0.01367054279848448,0.014723805231549899,0.047677911636248835,0.06502528150655772,0.79,1,134,0,135,10,8,4,7,12,91,4,1,0,4,2,81,4,2,9,4,0,56,1,17,3,9,4,32
43,500,5,0.029434375398702733,0.04215841333441885,0.12994012628827842,0.21047430514007828,0.676,1,77,0,146,13,1,3,4,3,111,0,1,0,1,2,75,2,1,4,1,1,3,57,2,2,3,61,3
44,500,5,0.045805654856935496,0.05379364444003029,0.30522706572571856,0.38418127617075243,0.034,1,83,0,4,18,118,1,0,125,8,4,1,0,11,75,5,2,0,1,36,9,0,18,4,2,2,56,0
45,500,5,0.01087526850957148,0.011371108956330134,0.1593922920380196,0.22891744439392836,0.488,0,200,0,86,4,89,10,3,15,98,0,0,0,14,6,1,4,53,10,0,5,57,1,40,1,1,0,2
46,500,5,0.010270279255046472,0.01166410071877629,0.17259220309364118,0.24728502807174377,0.472,0,200,0,148,7,4,7,0,8,60,7,49,1,1,7,20,1,49,14,5,49,8,0,6,49,0,0,0
47,500,5,0.02206852239574009,0.03107961496552444,0.13069622430262406,0.20583201663497444,0.58,1,89,0,151,1,7,2,3,3,104,3,6,2,6,2,5,75,2,7,1,55,1,3,3,1,24,4,29
48,500,5,0.01783970943465594,0.020428113807649043,0.18517798006304623,0.2628787756380224,0.364,1,148,0,122,11,4,3,5,4,5,5,80,3,0,84,4,2,1,6,7,76,5,4,4,10,7,2,46
49,500,5,0.015391328271890242,0.019979787265728733,0.19481774993844275,0.27596250969683306,0.5,1,117,0,239,1,4,3,3,11,2,47,3,2,0,67,1,3,0,9,6,2,3,29,10,3,3,44,5
